soil_sp,decay_cat,sterilization,plant_sp,pot_id,pair_id,block_id,color_Y,color_S,color_B,thrip,gall,below_twisted_root,above_morph,above_mass,below_mass,rosetting,apical_wilt
M,longd,sterile,E,48,f,Q,0,0,1,0,1,1,C,148.15,36.94,0,0
M,longd,sterile,E,49,a,B,0,0,1,0,1,0,CO,294.58,66.14,0,0
M,longd,sterile,E,50,h,Q,0,0,1,0,1,0,CO,317.75,36.5,0,0
M,longd,live,E,171,f,B,0,0,1,0,0,0,O,411.84,55.12,0,0
M,longd,live,E,172,i,B,1,0,1,0,0,0,O,651.61,255.3,0,0
M,longd,live,E,173,g,B,0,0,1,0,1,0,O,446.58,79.2,0,0
M,longd,live,E,174,b,B,0,0,1,0,1,0,C,349.4,43.17,0,0
M,longd,live,E,175,c,B,,,,,,,,Dead,Dead,,
M,longd,live,E,176,j,B,0,0,1,0,1,0,CO,445.23,101.14,0,0
M,longd,live,E,177,a,B,0,0,1,0,0,0,O,377.09,85.85,0,0
M,longd,live,E,178,e,B,0,0,1,0,1,0,O,427.56,79.91,0,0
M,longd,live,E,179,d,B,0,0,1,0,1,0,C,245.34,45.87,0,0
M,longd,live,E,180,h,B,0,0,0,0,0,0,O,842.53,188.86,0,0
E,fresh,sterile,E,181,d,A,0,0,1,0,1,0,CO,331.15,53.52,0,0
E,fresh,sterile,E,182,f,N,0,0,1,0,1,0,C,117.4,24.36,0,0
E,fresh,sterile,E,183,g,N,0,0,1,0,1,0,C,373.08,91.25,0,0
E,fresh,sterile,E,184,h,N,1,0,0,0,1,0,C,309.17,56.86,0,0
E,fresh,sterile,E,185,c,A,0,0,1,0,1,0,C,366.74,67.67,1,0
E,fresh,sterile,E,186,b,A,,,,,,,,Dead,Dead,,
E,fresh,sterile,E,187,a,A,0,0,1,0,1,1,CO,732.47,166.06,1,0
E,fresh,sterile,E,188,j,N,1,0,0,0,1,0,CO,660.53,117.59,0,0
E,fresh,sterile,E,189,e,A,0,0,1,0,1,1,CO,273.94,46,1,0
E,fresh,sterile,E,190,i,N,0,0,1,0,1,0,C,394.46,65.21,0,0
E,fresh,live,E,191,h,N,0,0,1,0,0,0,O,648.74,208.4,0,0
E,fresh,live,E,192,a,N,0,0,1,0,0,0,O,679.76,107.29,0,0
E,fresh,live,E,193,g,N,0,0,1,0,1,0,CO,529.43,110.44,0,0
E,fresh,live,E,194,c,N,0,0,1,0,1,0,CO,723.7,170.17,0,0
E,fresh,live,E,195,d,N,0,0,0,0,0,0,O,1077.39,471.77,0,0
E,fresh,live,E,196,e,N,0,0,1,0,1,0,CO,250.14,51.62,0,0
E,fresh,live,E,197,f,N,0,0,0,0,0,0,O,287.08,57.66,0,0
