soil_sp,decay_cat,soil_inoculum,seedling_sp,pot_id,pair_id,block_id,survival,12/26,1/13,2/1,2/18,3/2,3/15,3/27,4/10,4/26,5/19,5/29,apical_wilt
ENGERO,longd,live,MACHZU,120,e,Q,,4,4.4,5,5.5,5.5,6,6,6,6,6.7,7,0
MACHZU,fresh,sterile,ENGERO,121,a,P,,6.5,7.3,8.2,9.1,9.2,9.6,10,10.5,11,11.8,11.8,0
MACHZU,fresh,sterile,ENGERO,122,e,P,,4.9,5.9,6.2,7.2,8,8.2,8.5,9.6,10,10.3,10.9,0
MACHZU,fresh,sterile,ENGERO,123,h,P,,4.5,5.8,6.5,7.2,7.5,7.5,7.8,8.4,9,10,10.5,0
MACHZU,fresh,sterile,ENGERO,124,g,P,,4.1,5,5.5,6.2,6.5,7,7,7.6,8.4,9,9.2,0
MACHZU,fresh,sterile,ENGERO,125,f,P,,4.6,5.7,6.5,7.2,7.5,8.2,8.3,8.6,9.6,10.1,10.7,0
MACHZU,fresh,sterile,ENGERO,126,d,P,,4.4,4.9,5.5,6,6,6.4,6.5,7,7.5,8,8,0
MACHZU,fresh,sterile,ENGERO,127,j,P,,3.7,4.6,4.6,5.7,6,6.2,6.3,6.9,7.6,8.8,9.9,0
MACHZU,fresh,sterile,ENGERO,128,b,P,,4.9,5.6,6.5,7.1,7.4,7.9,8.5,9.3,10.1,11.1,11.5,0
MACHZU,fresh,sterile,ENGERO,129,i,P,,3.5,4.2,4.9,5.3,5.4,5.5,5.6,Dead,Dead,Dead,Dead,0
MACHZU,fresh,sterile,ENGERO,130,c,P,,5,5.7,6,7.2,8,8.2,8.5,8.8,9,Dead,Dead,0
MACHZU,fresh,live,ENGERO,131,g,P,,3.4,4,4.1,4.9,5.2,5.2,6.1,6.1,6.5,6.9,7.3,0
MACHZU,fresh,live,ENGERO,132,j,P,,3.9,4.9,6,6.2,6.5,6.7,7,7.9,8.6,9.8,10.7,0
MACHZU,fresh,live,ENGERO,133,e,C,,4.4,5.4,6.5,6.5,7,7.1,7.6,8.4,9.2,10.2,10.4,0
MACHZU,fresh,live,ENGERO,134,f,P,,4.5,6,7,7.7,8.1,8.1,8.7,9.5,10.5,12,12.5,0
MACHZU,fresh,live,ENGERO,135,a,C,,6,6.7,8,9.3,10.2,11.5,12.7,14.5,15.4,15.5,16.4,0
MACHZU,fresh,live,ENGERO,136,d,C,,4.7,5.7,6,6.6,7,7.4,7.6,8.3,8.6,9.5,10.1,0
MACHZU,fresh,live,ENGERO,137,b,C,,5.3,6.7,8,9.3,9.6,10.4,11.5,12.4,13.1,13.8,14,0
MACHZU,fresh,live,ENGERO,138,h,P,,4.9,6.4,7,7.6,8,8.2,8.5,9.1,9.5,9.9,10.1,0
MACHZU,fresh,live,ENGERO,139,i,P,,4.8,6.5,7.5,8.5,9,9,9.6,10.1,11,11.9,12.7,0
MACHZU,fresh,live,ENGERO,140,c,C,,4.6,6.2,7,7.5,8,8.5,9.1,9.5,10.2,10.3,11,0
MACHZU,shortd,sterile,ENGERO,141,b,H,,4.2,6,7.6,8.9,9.5,10,11.1,11.6,12.6,14,14.8,0
MACHZU,shortd,sterile,ENGERO,142,g,G,,3.9,5,5.4,6,6.2,6.6,6.8,7,7.6,8.4,8.6,0
MACHZU,shortd,sterile,ENGERO,143,f,G,,4.1,5.2,6.4,7.5,7.6,8.2,8.2,8.5,8.7,9,8.8,1
MACHZU,shortd,sterile,ENGERO,144,i,G,,3.5,5.2,5.7,6.4,7,7.2,7.2,8,8.2,8.5,8.5,0
