"","X","soil_sp","decay_cat","sterilization","plant_sp","pot_id","pair_id","block_id","above_mass","below_mass","rosetting","replicate","total_mass","height","apical_wilt","growth_rate","root_shoot_ratio"
"147",147,"M","shortd","sterile","E",147,"c","H",290.61,88.84,0,7,379.45,8.5,0,5.6,0.305701799662778
"148",148,"M","shortd","sterile","E",148,"h","G",139.17,26.09,0,8,165.26,6.5,0,2.3,0.187468563627219
"149",149,"M","shortd","sterile","E",149,"d","H",NA,NA,NA,9,NA,NA,0,NA,NA
"150",150,"M","shortd","sterile","E",150,"j","G",48.23,6.14,1,10,54.37,4.8,0,NA,0.127306655608542
"151",151,"M","shortd","live","E",151,"c","H",364.32,55.52,1,1,419.84,7.7,0,3.2,0.152393500219587
"152",152,"M","shortd","live","E",152,"j","H",233.85,52.23,0,2,286.08,8.4,0,5,0.223348300192431
"153",153,"M","shortd","live","E",153,"f","H",190.02,30.77,0,3,220.79,8.8,0,5.2,0.161930323123882
"154",154,"M","shortd","live","E",154,"b","H",156.35,41.73,0,4,198.08,8.1,0,4.6,0.266901183242725
"155",155,"M","shortd","live","E",155,"g","H",365.93,65.2,0,5,431.13,8.6,0,5.6,0.178176153909218
"156",156,"M","shortd","live","E",156,"d","H",241.65,43.04,0,6,284.69,10.6,0,7.1,0.178108835092075
"157",157,"M","shortd","live","E",157,"a","H",420.82,94.02,0,7,514.84,12,0,8.5,0.223420940069388
"158",158,"M","shortd","live","E",158,"i","H",160.35,43.85,0,8,204.2,8.2,0,4.6,0.273464296850639
"159",159,"M","shortd","live","E",159,"h","H",711.59,124.65,0,9,836.24,9.4,0,6.3,0.175171095715229
"160",160,"M","shortd","live","E",160,"e","H",1063.65,498.51,0,10,1562.16,10.3,0,6.9,0.46867860668453
"161",161,"M","longd","sterile","E",41,"i","Q",35.58,9.15,0,1,44.73,3,1,0.2,0.25716694772344
"162",162,"M","longd","sterile","E",42,"d","B",470.38,89.15,0,2,559.53,9.5,0,5.8,0.189527615970067
"163",163,"M","longd","sterile","E",43,"g","Q",483.39,87.6,0,3,570.99,12.6,0,9.1,0.181220132812015
"164",164,"M","longd","sterile","E",44,"b","B",277.42,36.95,0,4,314.37,10.7,0,7.1,0.133191550717324
"165",165,"M","longd","sterile","E",45,"j","Q",85.82,10.16,0,5,95.98,6.5,0,NA,0.118387322302494
"166",166,"M","longd","sterile","E",46,"c","B",542.43,103.53,0,6,645.96,9.6,0,5,0.190863337204801
"167",167,"M","longd","sterile","E",47,"e","B",118.19,15.32,0,7,133.51,9,0,5,0.129621795414164
"168",168,"M","longd","sterile","E",48,"f","Q",148.15,36.94,0,8,185.09,9.7,0,5.9,0.24934188322646
"169",169,"M","longd","sterile","E",49,"a","B",294.58,66.14,0,9,360.72,10.1,0,6,0.224523049765768
"170",170,"M","longd","sterile","E",50,"h","Q",317.75,36.5,0,10,354.25,8.7,0,4.2,0.114870180959874
"171",171,"M","longd","live","E",171,"f","B",411.84,55.12,0,1,466.96,9.7,0,5.8,0.133838383838384
"172",172,"M","longd","live","E",172,"i","B",651.61,255.3,0,2,906.91,9,0,4.3,0.391798775341078
"173",173,"M","longd","live","E",173,"g","B",446.58,79.2,0,3,525.78,12.4,0,7.5,0.177347843611447
"174",174,"M","longd","live","E",174,"b","B",349.4,43.17,0,4,392.57,9.2,0,5.6,0.12355466514024
"175",175,"M","longd","live","E",175,"c","B",NA,NA,NA,5,NA,NA,0,NA,NA
"176",176,"M","longd","live","E",176,"j","B",445.23,101.14,0,6,546.37,11.6,0,9.1,0.227163488534016
"177",177,"M","longd","live","E",177,"a","B",377.09,85.85,0,7,462.94,8.5,0,4.5,0.227664483279854
"178",178,"M","longd","live","E",178,"e","B",427.56,79.91,0,8,507.47,10.4,0,6.5,0.186897745345682
"179",179,"M","longd","live","E",179,"d","B",245.34,45.87,0,9,291.21,9.1,0,4.4,0.186965028124236
"180",180,"M","longd","live","E",180,"h","B",842.53,188.86,0,10,1031.39,8.7,0,4,0.224158190212811
"181",181,"E","fresh","sterile","E",181,"d","A",331.15,53.52,0,1,384.67,13.2,0,8.8,0.161618601842066
"182",182,"E","fresh","sterile","E",182,"f","N",117.4,24.36,0,2,141.76,8.7,0,5.3,0.207495741056218
"183",183,"E","fresh","sterile","E",183,"g","N",373.08,91.25,0,3,464.33,7.4,0,3.9,0.244585611665058
"184",184,"E","fresh","sterile","E",184,"h","N",309.17,56.86,0,4,366.03,9.8,0,6.2,0.183911763754569
"185",185,"E","fresh","sterile","E",185,"c","A",366.74,67.67,1,5,434.41,12.9,0,7.8,0.18451764192616
"186",186,"E","fresh","sterile","E",186,"b","A",NA,NA,NA,6,NA,NA,0,NA,NA
"187",187,"E","fresh","sterile","E",187,"a","A",732.47,166.06,1,7,898.53,14.1,0,9.5,0.226712356820075
"188",188,"E","fresh","sterile","E",188,"j","N",660.53,117.59,0,8,778.12,15,0,13.3,0.178023708234297
"189",189,"E","fresh","sterile","E",189,"e","A",273.94,46,1,9,319.94,10,0,6.8,0.167919982477915
"190",190,"E","fresh","sterile","E",190,"i","N",394.46,65.21,0,10,459.67,10.7,0,7.7,0.165314607311261
"191",191,"E","fresh","live","E",191,"h","N",648.74,208.4,0,1,857.14,7.4,0,4.5,0.321238092302001
"192",192,"E","fresh","live","E",192,"a","N",679.76,107.29,0,2,787.05,11.7,0,8,0.157835118277039
"193",193,"E","fresh","live","E",193,"g","N",529.43,110.44,0,3,639.87,10.6,0,6.7,0.208601703719094
"194",194,"E","fresh","live","E",194,"c","N",723.7,170.17,0,4,893.87,12.5,0,8.3,0.235138869697388
"195",195,"E","fresh","live","E",195,"d","N",1077.39,471.77,0,5,1549.16,8.7,0,5.2,0.437882289607292
"196",196,"E","fresh","live","E",196,"e","N",250.14,51.62,0,6,301.76,11.7,0,6.7,0.206364435915887
"197",197,"E","fresh","live","E",197,"f","N",287.08,57.66,0,7,344.74,8.5,0,4.4,0.200849937299707
"198",198,"E","fresh","live","E",198,"b","N",326.05,66.56,0,8,392.61,11,0,6.9,0.204140469253182
"199",199,"E","fresh","live","E",199,"i","N",947.5,375.98,0,9,1323.48,9.3,0,6.3,0.396812664907652
"200",200,"E","fresh","live","E",200,"j","N",263.83,60.85,0,10,324.68,7.4,0,3.5,0.230640943031498
